Player,Year,Season type,Tm,Games,Minutes,Possessions,Years experience,On-ball PRF/g,On-ball PRF/36,On-ball PRF/75,On-ball Plays/g,On-ball Plays/36,On-ball Plays/75,On-ball rORTG,On-ball PC/g,On-ball PC/36,On-ball PC/75,Off-ball: Partner PRF/g,Off-ball: Partner PRF/36,Off-ball: Partner PRF/75,Off-ball: Partner Plays/g,Off-ball: Partner Plays/36,Off-ball: Partner Plays/75,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Partner PC/36,Off-ball: Partner PC/75,Off-ball: Space PRF/g,Off-ball: Space PRF/36,Off-ball: Space PRF/75,Off-ball: Space Plays/g,Off-ball: Space Plays/36,Off-ball: Space Plays/75,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Space PC/36,Off-ball: Space PC/75,Off-ball: Crash PRF/g,Off-ball: Crash PRF/36,Off-ball: Crash PRF/75,Off-ball: Crash Plays/g,Off-ball: Crash Plays/36,Off-ball: Crash Plays/75,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Off-ball: Crash PC/36,Off-ball: Crash PC/75,Transition PRF/g,Transition PRF/36,Transition PRF/75,Transition Plays/g,Transition Plays/36,Transition Plays/75,Transition rORTG,Transition PC/g,Transition PC/36,Transition PC/75,Total PRF/g,Total PRF/36,Total PRF/75,Total Plays/g,Total Plays/36,Total Plays/75,Total rORTG,Total PC/g (ex. floor raising),Total PC/36 (ex. floor raising),Total PC/75 (ex. floor raising),Scoring PRF/g,Scoring PRF/36,Scoring PRF/75,Scoring Plays/g,Scoring Plays/36,Scoring Plays/75,Scoring rORTG,Scoring PC/g,Scoring PC/36,Scoring PC/75,Playmaking PRF/g,Playmaking PRF/36,Playmaking PRF/75,Playmaking Plays/g,Playmaking Plays/36,Playmaking Plays/75,Playmaking rORTG,Playmaking PC/g,Playmaking PC/36,Playmaking PC/75,% Playmaking,Floor raising PC/g,Floor raising PC/36,Floor raising PC/75,On-ball PC/g (floor raising adj.),On-ball PC/36 (floor raising adj.),On-ball PC/75 (floor raising adj.),Total PC/g (floor raising adj.),Total PC/36 (floor raising adj.),Total PC/75 (floor raising adj.),Half court PRF/g,Half court PRF/36,Half court PRF/75,Half court Plays/g,Half court Plays/36,Half court Plays/75,Half court rORTG,Half court PC/g,Half court PC/36,Half court PC/75,Half court PC/g (floor raising adj.),Half court PC/36 (floor raising adj.),Half court PC/75 (floor raising adj.),Off-ball PRF/g,Off-ball PRF/36,Off-ball PRF/75,Off-ball Plays/g,Off-ball Plays/36,Off-ball Plays/75,Off-ball rORTG,Off-ball PC/g,Off-ball PC/36,Off-ball PC/75,Total creation usage,On-ball creation usage,Off-ball creation usage,Transition creation usage,On-ball share,On-ball playmaking ratio,On-ball Scoring PC/g,On-ball Scoring PC/36,On-ball Scoring PC/75,On-ball Playmaking PC/g,On-ball Playmaking PC/36,On-ball Playmaking PC/75,Has data? All,Has data? Any category,Has data? ISO,Has data? PNRBH,Has data? Post-Up,Has data? Misc,Has data? On-ball,Has data? Passing,Has data? Roll and Pop,Has data? Handoff,Has data? Off-ball: Partner,Has data? Spot-Up,Has data? Off Screen,Has data? Off-ball: Space,Has data? Open Rim,Has data? Putbacks,Has data? Off-ball: Crash,Has data? Transition
Vince Carter,2018-19,RS,ATL,76.0,1330.3566666666666,2877.0,,3.5530534816461583,7.307179021503424,7.039417742573201,3.751302359554985,7.714895947008526,7.432194455844078,-13.263026539914133,-0.4975362275402027,-1.0232286969785007,-0.9857339231766269,0.5526315789473685,1.1365373195659312,1.094890510948905,0.6052631578947368,1.2447789690484008,1.1991657977059438,-15.351512102553569,-0.09291704693650844,-0.19109239408350678,-0.184090082564511,3.6447368421052633,7.495734226661022,7.221063607924922,3.026315789473684,6.223894845242004,5.995828988529719,18.095851426617777,0.5476376089634328,1.1262667641439155,1.0849963055584173,0.5394736842105263,1.1094769071953137,1.0688216892596454,0.4605263157894737,0.9471144329716092,0.9124087591240876,3.3224375588648365,0.015300699284245956,0.03146728564647847,0.03031421130351128,1.3467578341433157,2.7697304990011045,2.668237627604067,1.1197502720239623,2.3028687125940372,2.218483333519842,10.341119493342047,0.11579471365702058,0.23814240534413705,0.22941601245916485,9.63665342105263,19.818657973926793,19.09243117831074,8.963157894736842,18.433552906864577,17.75808133472367,0.9849179102359222,0.08827974742798818,0.18155536407252368,0.17490252357995573,7.118421052631579,14.639683092504017,14.103232533889468,6.526315789473684,13.421964535826234,12.930135557872784,6.4332899609043,0.4198568185011228,0.8634738970394447,0.8318331127759472,2.518232368421053,5.178974881422778,4.989198644421273,2.4368421052631577,5.011588371038344,4.827945776850886,-13.072278069711013,-0.31855077611979987,-0.6551287675714327,-0.6311224970048173,0.271873165002936,-0.3450612061842232,-0.2476493468504608,-0.27891652533517997,-0.842597433724426,-1.2708780438289615,-1.2646504485118069,-0.25678145875623504,-0.06609398277793713,-0.10401400175522424,8.289895586909315,17.048927474925687,16.424193550706672,7.843407622712879,16.13068419427054,15.539598001203826,-0.3508037265506229,-0.027514966229032402,-0.056587041271613375,-0.05451348887920914,-0.3725761724132556,-0.3042363881220742,-0.3334300142143891,4.7368421052631575,9.741748453422266,9.384775808133472,4.092105263157895,8.415788247262014,8.10740354535975,11.48605011564275,0.4700212613111704,0.9666416557068874,0.9312204342974179,0.23677441779631558,0.09909592607792105,0.10809871393813,0.029579777780264556,0.11429475477049668,0.5861086550401241,-0.16595915646706808,-0.34131016401157954,-0.3288033339806354,-0.33157707107313467,-0.6819185329669211,-0.6569305891959915,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
Dirk Nowitzki,2018-19,RS,DAL,51.0,795.14,1626.0,,3.1678374901960784,7.3146233770153675,7.452016236162361,3.4980392156862745,8.077068189249692,8.22878228782288,-5.793111810456258,-0.20264532293831303,-0.4679135912100293,-0.4767025585725998,1.1568627450980393,2.671227708328093,2.7214022140221403,1.3137254901960784,3.033428075559021,3.0904059040590406,-24.746577404429306,-0.32510209531309087,-0.7506696267259034,-0.7647696891590238,3.5098039215686274,8.10423321679201,8.256457564575646,3.4901960784313726,8.058958170888145,8.210332103321033,-1.2973782303795205,-0.045281044119128366,-0.1045551689044944,-0.1065190613503481,,,,,,,,,,,0.5490196078431373,1.2677012853082474,1.2915129151291513,0.9019607843137255,2.0826521115778354,2.121771217712177,-45.26038913497386,-0.40823096082525445,-0.9426164500278783,-0.9603219096904049,8.383523764705883,19.35778558744372,19.721388929889297,9.20392156862745,21.252106547274693,21.65129151291513,-10.66131882892738,-0.9812594231957867,-2.265754836868305,-2.3083132187723767,6.862745098039215,15.846266066353094,16.14391143911439,7.666666666666667,17.7025429484116,18.035055350553506,-13.61126827531802,-1.0435305677743816,-2.4095406122616954,-2.4547997673659347,1.5207786666666667,3.5115195210906256,3.577477490774908,1.5372549019607844,3.5495635988630934,3.616236162361624,4.05080149682186,0.06227114457859487,0.14378577539339005,0.14648654859355803,0.1670217298679165,-0.3718399682297461,-0.213748427461542,-0.20420422356400136,-0.5744852911680591,-0.6816620186715713,-0.6809067821366012,-1.3530993914255327,-2.479503264329847,-2.512517442336378,7.834504156862745,18.090084302135473,18.429876014760147,8.301960784313724,19.169454435696856,19.52952029520295,-6.902326778671975,-0.5730284623705323,-1.3231383868404272,-1.3479913090819717,-0.9448684306002784,-1.5368868143019692,-1.552195532645973,4.666666666666667,10.775460925120104,10.977859778597786,4.803921568627451,11.092386246447166,11.300738007380074,-7.71001637185436,-0.37038313943221923,-0.8552247956303978,-0.8712887505093718,0.28868388683886836,0.10971709717097171,0.15067650676506766,0.028290282902829027,0.1196602694703658,0.43946188340807174,-0.2649164675169079,-0.6116993666034193,-0.6231891071661578,0.06227114457859487,0.14378577539339005,0.14648654859355803,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,True
Jamal Crawford,2018-19,RS,PHX,64.0,1210.9116666666666,2564.0,,11.27887197148064,21.460294534799313,21.11489292632881,11.846477558855383,22.54027692270656,22.177493089900874,-7.13755675567227,-0.8455490593112818,-1.6088250582438794,-1.5829311562769706,0.1875,0.3567559978913959,0.35101404056162244,0.140625,0.2675669984185469,0.26326053042121683,35.90245738080572,0.05048783069175805,0.09606312757231993,0.09451699973496047,1.5625,2.9729666490949658,2.925117004680187,1.5625,2.9729666490949658,2.925117004680187,-1.9648614106436373,-0.030700959541306833,-0.05841467443937222,-0.057474495241136035,,,,,,,,,,,2.0559587785193605,3.9118700034893323,3.8489087897398324,1.8035224411446187,3.4315597237870654,3.3763290629852456,2.146271697171264,0.03870849170641921,0.07365059512317017,0.07246519508222005,15.084830750000002,28.70188718527501,28.239932761310456,15.353125000000002,29.212370294007137,28.742199687987522,-5.126342008251814,-0.7870536964544114,-1.4975260099877616,-1.4734234567009261,7.734375,14.71618491302008,14.479329173166926,7.84375,14.924292578456727,14.68408736349454,1.2156355336511704,0.09535141217076368,0.18142500372978446,0.17850498378302093,7.350455750000001,13.985702272254928,13.760603588143526,7.509375,14.288077715550406,14.05811232449298,-11.743233290145321,-0.8818434248818503,-1.6778822988143505,-1.650876926455882,0.4891105231019743,0.4149150761686833,0.8355916431024428,0.8119884967169633,-0.4306339831425985,-0.7732334151414366,-0.7709426595600073,-0.3721386202857281,-0.6619343668853188,-0.6614349599839628,13.02887197148064,24.790017181785675,24.391023971570622,13.549602558855383,25.780810570220073,25.365870625002277,-6.094364647036464,-0.8257621881608306,-1.571176605110932,-1.545888651783146,-0.4108471119921473,-0.7355849620084891,-0.7339001550661828,1.75,3.3297226469863617,3.2761310452418098,1.703125,3.2405336475135127,3.188377535101404,1.1617979391090623,0.01978687115045122,0.037648453132947714,0.03704250449382443,0.383229329173167,0.295699907865345,0.04251170046801872,0.04501772083980327,0.3339300284845416,0.5489165472646775,0.03685604931389325,0.07012595547366657,0.06899728420697644,-0.882405108625175,-1.678951013717546,-1.651928440483947,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True
Tyson Chandler,2018-19,RS,LAL,55.0,874.7566666666667,1858.0,,1.5330361454545456,3.47000678436289,3.403538266953714,1.8545454545454545,4.197738799742405,4.117330462863293,-25.6977349036439,-0.47657617457666873,-1.0787237887052066,-1.0580606674535837,0.41818181818181815,0.946548945039954,0.9284176533907428,0.34545454545454546,0.7819317372069186,0.7669537136706136,6.464860017601008,0.022333152788076207,0.050550792243623056,0.04958248398859761,,,,,,,,,,,1.690909090909091,3.827350082118075,3.7540365984930033,1.5636363636363637,3.5392699684102626,3.471474703982777,-4.574200341322592,-0.07152385988249871,-0.1618932989753502,-0.1587922077585076,0.32727272727272727,0.7407774352486597,0.7265877287405813,0.2,0.4526973215408476,0.44402583423035524,54.88597292036211,0.10977194584072421,0.24846732931211415,0.24370789913508467,3.969399781818182,8.98468324676958,8.81258024757804,3.963636363636364,8.971637826900434,8.79978471474704,-10.495285078289077,-0.41599493583036706,-0.9415989661248196,-0.923562492088409,2.6363636363636362,5.9673737839475365,5.853067814854683,2.672727272727273,6.0496823878640535,5.933799784714747,-13.912075448555857,-0.37183183471594744,-0.8416363781976427,-0.8255147030157606,1.3330361454545456,3.0173094628220425,2.9595124327233586,1.290909090909091,2.9219554390363798,2.8659849300322926,-3.4210852975958836,-0.04416310111441959,-0.09996258792717684,-0.09804778907264844,0.3256880733944954,-0.5500412517348188,-0.5962455495025274,-0.609172031486286,-1.0266174263114876,-1.674969338207734,-1.6672326989398698,-0.9660361875651858,-1.537844515627347,-1.532734523574695,3.6421270545454547,8.24390581152092,8.08599251883746,3.7636363636363637,8.518940505359586,8.355758880516685,-13.969651445367159,-0.5257668816710912,-1.1900662954369337,-1.1672703912234936,-1.07580813340591,-1.786311844939461,-1.7764424227097795,2.109090909090909,4.773899027158029,4.682454251883746,1.9090909090909092,4.321201705617181,4.238428417653391,-2.576656085898321,-0.0491907070944225,-0.11134250673172716,-0.10920972376991,0.11733046286329386,0.05489773950484392,0.05651237890204521,0.005920344456404736,0.06218872295914673,0.696078431372549,-0.43241307346224916,-0.9787612007780297,-0.9600128783809353,-0.04416310111441959,-0.09996258792717684,-0.09804778907264844,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,True,True,True
Pau Gasol,2018-19,RS,MIL,30.0,360.545,755.0,,4.302410543063236,12.887721051486762,12.821753274029513,4.152410676844108,12.438401672444868,12.374733805164558,3.248428095188833,0.13488807505422476,0.40405253452013684,0.40198432963179564,1.0,2.9954651985189087,2.980132450331126,1.0,2.9954651985189087,2.980132450331126,-12.429618295108801,-0.124296182951088,-0.3723248903387234,-0.37041908826483183,0.8333333333333334,2.4962209987657573,2.4834437086092715,0.7,2.096825638963236,2.0860927152317883,14.30206960481494,0.10011448723370459,0.2998894623761277,0.2983544321534243,0.9,2.6959186786670175,2.6821192052980134,0.8333333333333334,2.4962209987657573,2.4834437086092715,-4.0904453075742495,-0.03408704422978541,-0.10210655471069698,-0.10158390664505587,,,,,,,,,,,7.03574387639657,21.075325927438445,20.967448638267925,6.685744010177441,20.026913508692772,19.924402679336744,1.146010600920726,0.07661933510705593,0.22951055184684407,0.22833576687533225,3.3333333333333335,9.98488399506303,9.933774834437086,3.2666666666666666,9.785186315161768,9.735099337748345,-5.182952081341836,-0.16930976799049996,-0.5071615177848533,-0.5045655337465231,3.737046533333334,11.194192835845733,11.136893642384107,3.4466666666666668,10.324370050895173,10.271523178807948,7.135273784261776,0.24592910309755592,0.7366720696316974,0.7329013006218553,0.5155247735210837,-0.3030227571891234,0.1652385112636794,0.1555483111338578,-0.16813468213489866,0.5692910457838163,0.5575326407656535,-0.22640342208206748,0.3947490631105235,0.38388407800919006,7.03574387639657,21.075325927438445,20.967448638267925,6.685744010177441,20.026913508692772,19.924402679336744,1.146010600920726,0.07661933510705593,0.22951055184684407,0.22833576687533225,-0.22640342208206748,0.3947490631105235,0.38388407800919006,2.7333333333333334,8.187604875951683,8.14569536423841,2.533333333333333,7.588511836247902,7.549668874172186,-2.300081840019822,-0.05826873994716883,-0.17454198267329274,-0.1736485627564634,0.2656587023911566,0.16499645073552746,0.10066225165562914,,0.18427261736955364,0.8233957596191623,-0.11104102804333114,-0.3326195351115606,-0.33091697099005973,0.24592910309755592,0.7366720696316974,0.7329013006218553,False,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,False
Tony Parker,2018-19,RS,CHA,56.0,1002.8016666666666,2071.0,,13.254958073885977,26.647338516876015,26.881131777074412,13.375875196624564,26.890426385139424,27.126352402618625,-0.971837638517042,-0.12999178964186292,-0.26133128476850254,-0.26362410260541974,0.375,0.7538878575191837,0.7605021728633511,0.4107142857142857,0.8256867010924394,0.8329309512312892,-5.196967949908627,-0.021344689794267575,-0.04291067322243192,-0.04328715458035916,1.2678571428571428,2.5488589468505736,2.571221632061806,1.2857142857142858,2.5847583686372015,2.607436021245775,-4.605393770839407,-0.05921220562507808,-0.11903830090046795,-0.12008269610107579,,,,,,,,,,,2.651716140399737,5.330924266226658,5.377695697575517,2.2026962319468653,4.42822918151467,4.467080721476018,4.701555350709884,0.10356098255298285,0.2081956460251995,0.21002227268108545,17.549531357142858,35.28100958747243,35.59055127957509,17.275000000000002,34.729100636383734,35.03380009657171,-0.6193209986004383,-0.10698770250822573,-0.21508461286620292,-0.2169716806057692,9.375,18.847196437979594,19.012554321583774,9.660714285714286,19.421587186565638,19.591984548527282,-0.684072311063487,-0.06608627147952616,-0.13285770031234964,-0.13402334148431186,8.174531357142856,16.433813149492835,16.577996957991306,7.614285714285714,15.307513449818092,15.441815548044422,1.2449935218442312,0.09479736387756788,0.19057755080566963,0.1922496032282883,0.44076907173868096,0.5375930451344428,1.0349911897393929,1.039722825128089,0.4076012554925799,0.7736599049708903,0.7760987225226692,0.4306053426262171,0.8199065768731899,0.8227511445223198,14.89781521674312,29.950085321245773,30.212855581999566,15.072303768053136,30.300871454869064,30.56671937509569,-1.3969243740129633,-0.21054868506120858,-0.4232802588914024,-0.4269939532868547,0.32704436007323423,0.6117109308479904,0.6127288718412343,1.6428571428571428,3.3027468043697574,3.331723804925157,1.6964285714285714,3.410445069729641,3.4403669724770642,-4.748616993140376,-0.08055689541934566,-0.16194897412289988,-0.16336985068143495,0.4671173346209561,0.36168469870158165,0.045871559633027525,0.059561076286346916,0.3983766871872507,0.49536012404606017,-0.08909035861316335,-0.17910437221464925,-0.18067576348396236,-0.04090143102869957,-0.0822269125538533,-0.08294833912145737,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True
Nene,2018-19,RS,HOU,42.0,545.7833333333333,1121.0,,1.6902542857142857,4.682562335481113,4.7495994647636035,1.9047619047619047,5.276819250618377,5.352363960749331,3.062201817189585,0.058327653660754,0.1615868549822458,0.16390018646866644,1.2619047619047619,3.495892753534675,3.545941123996432,1.0476190476190477,2.9022505878401077,2.9438001784121317,8.245854275974212,0.08638514003401555,0.2393153541969002,0.24274147288773326,0.14285714285714285,0.3957614437963783,0.4014272970561998,0.30952380952380953,0.8574831282254863,0.8697591436217662,-55.967613468796074,-0.17323308930817832,-0.47991284276538115,-0.48678343561174103,1.2142857142857142,3.3639722722692156,3.4121320249776983,1.1428571428571428,3.1660915503710263,3.2114183764495983,-15.52805595368929,-0.1774634966135919,-0.49163246748664174,-0.4986708424021538,0.3333333333333333,0.923443368858216,0.9366636931311328,0.2619047619047619,0.7255626469600269,0.7359500446030329,21.142772920362095,0.05537392907713882,0.153404062841727,0.15560024673772282,4.642635238095238,12.861632173939597,13.045763603925066,4.666666666666667,12.928207164015024,13.113291703835861,-3.2273542103541826,-0.15060986314986186,-0.41723903823114994,-0.42321237191977235,3.238095238095238,8.970592726051242,9.099018733273862,3.0952380952380953,8.574831282254863,8.697591436217662,-8.256623783534268,-0.25556216472844157,-0.7079915590485913,-0.7181274031173871,1.4045400000000001,3.8910394478883563,3.9467448706512043,1.5714285714285714,4.3533758817601615,4.415700267618198,6.678782827727801,0.10495230157857974,0.2907525208174414,0.29491503119761475,0.336734693877551,-0.5444827535132712,-0.4855587345972632,-0.48247978331569363,-0.48615509985251726,-0.3239718796150174,-0.3185795968470272,-0.695092616663133,-0.9027977728284131,-0.905692155235466,4.309301904761905,11.938188805081381,12.109099910793933,4.404761904761905,12.202644517054997,12.377341659232828,-4.67638879650488,-0.20598379222700067,-0.570643101072877,-0.5788126186574952,-0.7504665457402719,-1.0562018356701401,-1.0612924019731889,2.619047619047619,7.255626469600268,7.35950044603033,2.5,6.92582526643662,7.024977698483497,-10.572457835510184,-0.2643114458877546,-0.7322299560551226,-0.7427128051261616,0.17484388938447815,0.07136485280999108,0.0936663693131133,0.009812667261373774,0.07817510000916114,0.825,-0.04662464791782574,-0.12916566583519562,-0.13101484472894834,0.10495230157857974,0.2907525208174414,0.29491503119761475,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True
LeBron James,2018-19,RS,LAL,55.0,1937.4016666666666,4142.0,,29.274045476792477,29.9177042331004,29.153896086858754,30.105822245829085,30.767769571139485,29.98225899663085,-1.5632235590326602,-0.47062130598729573,-0.4809690225249345,-0.4686897361655227,1.3636363636363635,1.3936191170132506,1.358039594398841,0.9454545454545454,0.9662425877958538,0.9415741187831965,37.94410995115061,0.35874431226542397,0.3666321499081017,0.3572719189026735,1.9636363636363636,2.006811528499081,1.9555770159343313,2.0727272727272728,2.118301057860141,2.0642201834862384,-6.786464774144546,-0.14066490622772335,-0.14375775510200978,-0.1400875756130755,2.418181818181818,2.4713512341701644,2.408256880733945,1.690909090909091,1.7280877050964307,1.683969097054563,29.24746879602991,0.49454810873286936,0.505421912316108,0.49251833619582,9.920682159571156,10.13881169501982,9.879964729172144,8.239632299625463,8.420799999273124,8.205814397864566,11.496627160447003,0.9472798048797049,0.968107979843355,0.9433918868007684,44.94018218181817,45.928297807802714,44.75573430709801,43.054545454545455,44.00120092116504,42.87783679381941,2.7622774810584394,1.189286013662979,1.2154352644406203,1.1844048301206636,27.236363636363638,27.835219163811328,27.124577498792853,24.4,24.936491400423765,24.299855142443263,11.668300874782155,2.8470654134468454,2.9096648442156225,2.8353802101565035,17.703818545454542,18.093078643991394,17.631156808305164,18.654545454545456,19.064709520741268,18.577981651376145,-9.730554875620081,-1.8151907822520368,-1.8551020217932952,-1.8077406993697855,0.43327702702702703,1.4457780472396649,1.1674193715122434,1.139493270309336,0.9751567412523692,0.6864503489873088,0.6708035341438132,2.6350640609026437,2.3828546359528637,2.3238981004299992,35.01950002224702,35.789486112782896,34.87576957792587,34.81491315491999,35.580400921891915,34.67202239595485,0.6951222532320873,0.24200620878327425,0.24732728459726544,0.24101294331989528,1.687784256022939,1.4147466561095088,1.3805062136292312,5.745454545454545,5.871781879682496,5.721873491067117,4.709090909090909,4.812631350752426,4.689763399323998,15.133016722927161,0.71262751477057,0.7282963071221998,0.7097026794854179,0.5717044905842588,0.39976345328841134,0.06253017865765331,0.10941085863819422,0.4558188084613257,0.5138361106084262,1.187158093796571,1.213260557250068,1.1822856438703175,-1.6577793997838668,-1.6942295797750027,-1.6509753800358402,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Carmelo Anthony,2018-19,RS,HOU,10.0,294.14166666666665,602.0,,7.434086000000001,9.098578213445904,9.261735049833888,7.12,8.714168342918663,8.870431893687707,11.24625156697539,0.8007331115686478,0.9800172938143635,0.9975910858413385,0.8,0.9791200385301868,0.9966777408637874,1.1,1.346290052979007,1.3704318936877076,-38.826309360389416,-0.4270894029642836,-0.5227147408577798,-0.5320881266166323,3.4,4.161260163753294,4.235880398671096,3.6,4.406040173385841,4.485049833887043,-7.677015178197779,-0.27637254641512,-0.3382523728683227,-0.3443179564972425,,,,,,,,,,,2.0,2.447800096325467,2.491694352159468,1.6,1.9582400770603736,1.9933554817275747,18.870045647634836,0.3019207303621574,0.3695207964315721,0.3761470893216246,13.634086000000002,16.686758512054855,16.98598754152824,13.419999999999998,16.424738646343883,16.71926910299003,2.9746042664038868,0.3991918925514016,0.4885709765198331,0.4973320920490883,12.2,14.93158058758535,15.199335548172757,11.6,14.197240558687708,14.451827242524915,4.003162275236086,0.46436682392738593,0.5683385781699032,0.5785300962550489,1.4340860000000002,1.755177924469502,1.7866519933554816,1.8199999999999998,2.227498087656175,2.267441860465116,-3.581040185493646,-0.06517493137598436,-0.0797676016500701,-0.08119800420596057,0.13561847988077497,-0.006198013123248636,-0.15501706684389482,-0.14533408118214486,0.7945350984453992,0.8250002269704687,0.8522570046591936,0.39299387942815295,0.3335539096759383,0.35199801086694343,11.634086,14.238958415729385,14.49429318936877,11.82,14.46649856928351,14.725913621262457,0.8229370743590879,0.09727116218924418,0.11905018008826103,0.12118500272746367,0.09107314906599555,-0.035966886755633795,-0.024149078454681186,4.2,5.140380202283481,5.232558139534883,4.7,5.7523302263648475,5.85548172757475,-14.967275518710714,-0.7034619493794037,-0.8609671137261025,-0.8764060831138749,0.2229235880398671,0.11827242524916944,0.07807308970099668,0.026578073089700997,0.12909879026546167,0.25561797752808985,0.8659080429446322,1.0597848954644336,1.0787890900472992,-0.06517493137598436,-0.0797676016500701,-0.08119800420596057,False,True,True,False,True,True,True,True,True,False,True,True,False,True,False,False,False,True
Dwyane Wade,2018-19,RS,MIA,72.0,1885.2266666666667,3884.0,,15.023894451507962,20.656367272357333,20.888009793548658,16.98321542338275,23.3502396055336,23.61209147432205,-12.347161585797178,-2.0969450507890963,-2.883091814766043,-2.9154230881207823,0.9583333333333334,1.317613443476293,1.332389289392379,1.0,1.3749009844970013,1.3903192584963955,-0.8087400756084249,-0.008087400756084249,-0.011119375261562026,-0.01124406902236224,2.486111111111111,3.4181566142356004,3.45648815653965,2.3472222222222223,3.2271981441665725,3.2633882595262613,3.991410786265955,0.09368728095540924,0.1288107348204393,0.13025523098846803,1.625,2.234214099807627,2.2592687950566424,1.4861111111111112,2.0432556297385993,2.066168898043254,-6.815509783510053,-0.10128604817160773,-0.13925828734695417,-0.14081994338997983,3.512070159603149,4.82874872006091,4.882898780086767,3.361229021061697,4.621357090177619,4.6731814401990635,-1.6523647631592757,-0.05553976395310695,-0.07636167613785781,-0.07721800343634849,23.605409055555555,32.45510014993776,32.819054814624096,25.17777777777778,34.61695145411339,35.005149330587024,-8.611446974594163,-2.1681709827144857,-2.981020418691977,-3.0144498729810048,14.930555555555555,20.528035532420507,20.758238928939235,15.430555555555555,21.215486024669005,21.453398558187434,-2.8792354145709793,-0.44428202022060526,-0.6108437869956268,-0.6176938489163925,8.6748535,11.927064617517257,12.060815885684859,9.747222222222222,13.40146542944438,13.551750772399586,-19.152569559343117,-1.8668435162148609,-2.5667249883456558,-2.5955084931926486,0.387135922330097,0.8006370165502517,0.8767899628735658,0.8851641897273732,-1.2963080342388447,-2.006301851892477,-2.0302588983934093,-1.367533966164234,-2.1042304558184113,-2.1292856832536318,20.093338895952407,27.626351429876852,27.93615603453733,21.81654875671608,29.99559436393577,30.33196789038796,-9.683617891720932,-2.1126312187613787,-2.9046587425541195,-2.9372318695446564,-1.311994202211127,-2.0278687796805537,-2.0520676798172834,5.069444444444445,6.96998415751952,7.048146240988671,4.833333333333333,6.645354758402173,6.719876416065911,-0.32454140632309114,-0.01568616797228274,-0.02156692778807687,-0.021808781423874046,0.46673532440782706,0.314827886324294,0.08959835221421215,0.06230908586932085,0.34592947563753473,0.49051003817189387,-0.3730560882952155,-0.5129151830696921,-0.5186670640561699,-1.7238889624938807,-2.3701766316963506,-2.3967560240646124,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
